State Name,Date,AQI,Category,Defining Parameter,Latitude,Longitude,County Name
Hawaii,1980-05-21,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-22,18,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-23,12,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-24,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-25,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-26,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-27,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-28,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-29,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-30,13,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-05-31,11,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-06-01,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-02,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-03,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-04,30,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-05,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-06,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-07,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-08,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-09,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-10,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-11,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-12,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-13,24,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-14,23,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-15,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-16,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-17,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-18,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-19,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-20,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-21,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-22,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-23,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-24,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-25,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-26,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-27,18,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-28,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-29,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-06-30,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-07-01,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-07-02,21,Good,Ozone,21.390861,-157.96525,Honolulu
